"id","name","unit_name","lo","hi"
"1003","Protein","G","150","225"
"1004","Total lipid (fat)","G","45","95"
"1005","Carbohydrate, by difference","G","480","590"
"1008","Energy","KCAL","2600","2800"
"1018","Alcohol, ethyl","G","0","17"
"1050","Carbohydrate, by summation","G","480","590"
"1057","Caffeine","MG","0","65"
"1058","Theobromine","MG","0","1000"
"1079","Fiber, total dietary","G","38","1000"
"1081","Ribose","G","10","60"
"1087","Calcium, Ca","MG","1000","2500"
"1088","Chlorine, Cl","MG","920","3100"
"1089","Iron, Fe","MG","8","45"
"1090","Magnesium, Mg","MG","420","1000"
"1091","Phosphorus, P","MG","700","3000"
"1092","Potassium, K","MG","3400","10000"
"1093","Sodium, Na","MG","460","2300"
"1095","Zinc, Zn","MG","11","40"
"1096","Chromium, Cr","UG","35","10000"
"1098","Copper, Cu","MG","1.3","10"
"1099","Fluoride, F","UG","4000","7000"
"1100","Iodine, I","UG","150","1100"
"1101","Manganese, Mn","MG","2.5","11"
"1102","Molybdenum, Mo","UG","45","600"
"1103","Selenium, Se","UG","55","400"
"1106","Vitamin A, RAE","UG","900","3000"
"1109","Vitamin E (alpha-tocopherol)","MG","15","300"
"1114","Vitamin D (D2 + D3)","UG","20","100"
"1137","Boron, B","UG","0","11000"
"1146","Nickel, Ni","UG","0","600"
"1162","Vitamin C, total ascorbic acid","MG","110","2000"
"1165","Thiamin","MG","1.2","10000"
"1166","Riboflavin","MG","1.3","10000"
"1167","Niacin","MG","16","20"
"1170","Pantothenic acid","MG","5","10000"
"1175","Vitamin B-6","MG","1.7","25"
"1176","Biotin","UG","30","10000"
"1177","Folate, total","UG","400","1000"
"1178","Vitamin B-12","UG","4","10000"
"1180","Choline, total","MG","500","3500"
"1185","Vitamin K (phylloquinone)","UG","120","10000"
"1198","Betaine","MG","1500","20000"
